ETF Names,STD_3_years,Returns_Average_3_years,Class
iShares Asia 50 ETF,3.98332383428322,0.4908108108108112,name_6
iShares China Large-Cap ETF,5.019931130858128,-0.1656756756756756,name_3
iShares Core Cash ETF,0.0417629518131099,0.0305405405405405,name_1
iShares Core Composite Bond ETF,1.434880005655745,-0.1883783783783784,name_4
iShares Core Global Corporate Bond (AUD Hedged) ETF,2.0287467469754232,-0.1124324324324324,name_4
iShares Core MSCI World ex Australia ESG Leaders (AUD Hedged) ETF,5.199153560700795,0.7854054054054055,name_3
iShares Core MSCI World ex Australia ESG Leaders ETF,3.714966099861898,0.8486486486486484,name_6
iShares Core S&P/ASX 200 ETF,5.286605261904391,0.5021621621621623,name_3
iShares Edge MSCI Australia Minimum Volatility ETF,5.0206885946017366,0.3883783783783784,name_3
iShares Edge MSCI Australia Multifactor ETF,5.292945202712656,0.3575675675675674,name_3
iShares Edge MSCI World Minimum Volatility ETF,3.072007003088865,0.4370270270270271,name_2
iShares Edge MSCI World Multifactor ETF,3.54806907262868,0.6694594594594594,name_6
iShares Enhanced Cash ETF,0.0457651007258199,0.04,name_1
iShares Global 100 (AUD Hedged) ETF,4.744187940967266,1.0340540540540542,name_3
iShares Global 100 ETF,3.2578165646286426,1.100810810810811,name_6
iShares Global Consumer Staples ETF,3.3069521591009723,0.602972972972973,name_6
iShares Global Healthcare ETF,3.0868959452136666,1.0710810810810814,name_6
iShares Global High Yield Bond (AUD Hedged) ETF,3.067579378474702,-0.0710810810810809,name_2
iShares Government Inflation ETF,2.153611430177736,-0.1054054054054054,name_4
iShares J.P. Morgan USD Emerging Markets Bond (AUD Hedged) ETF,3.7291267323847,-0.4016216216216217,name_2
iShares MSCI EAFE ETF,3.2792662192839632,0.2927027027027026,name_2
iShares MSCI Emerging Markets ETF,3.4061719726853936,0.2037837837837837,name_2
iShares MSCI Japan ETF,3.32933221577586,0.2256756756756757,name_2
iShares MSCI South Korea ETF,4.769327471932971,0.3735135135135133,name_3
iShares S&P 500 (AUD Hedged) ETF,5.44484702807702,0.9127027027027024,name_3
iShares S&P 500 ETF,3.645473251201444,1.064324324324324,name_6
iShares S&P/ASX 20 ETF,4.961186801005831,0.5375675675675676,name_3
iShares S&P/ASX Dividend Opportunities ETF,5.295828277724566,0.2802702702702702,name_3
iShares S&P/ASX Small Ordinaries ETF,6.507154009496263,0.2245945945945948,name_5
iShares S&P Mid-Cap ETF,4.5289135184564575,0.8391891891891895,name_3
iShares S&P Small-Cap ETF,4.96178806891637,0.8862162162162166,name_3
iShares Treasury ETF,1.622007987005585,-0.2210810810810811,name_4
